address,balance
0xefc2d65302eb6345a7c0e212b791e0d45c2c3c91,9731156941908165138497844
0x8894e0a0c962cb723c1976a4421c95949be2d4e3,3384956219027457751438190
0xe2fc31f816a9b94326492132018c3aecc4a93ae1,1696380733116190000000000
0x49837a48abde7c525bdc86d9acba39f739cbe22c,876568936125894284660870
0xded7b57b1dad6ba77599902eb2005368832e9976,477727437881018386489486
0x6928f1da848f31b30fcc3fdca578e1c15e629ffa,297640000000000000000000
0x6627a775f57fd3be95759b6630885843a402bd98,192097910000000000000000
0x18a7010e8c78b1e6a25fcfcc1d5c45f3cf2c7468,180864645480441544579856
0xcbf42ace1dbd895ffdcabc1b841488542626014d,150902133195805515680663
0xbf722e93c1c9db6303b6706a22d01b0b48dc4955,138116560000000000000000
0xfb1cc159473126cfbf4c021008c55fd1c1472de7,130937304000000000000000
0xe0a19aeefcd3be18152246ff70eb333975afdcdd,92382000000000002621440
0x9239df3e9996c776d539eb9f01a8ae8e7957b3c3,80481895517232437570130
0xe678fa95cb7d5063570d621803e5a129d68acb31,70000000000112817480609
0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2,66122266580954817366005
0x462c9529988934059aa7e5d29b90657b9c7c6458,61427264381998612451907
0xd4eee3d50588d7dee8dcc42635e50093e0aa8cc0,58381817350090000000000
0x72664ed5f26f0a6a2c8d2c0913bd3ccc55f4103e,49999190000000000000000
0xe9128714c0d804670a5d57cb2cef18d72d24ad05,43107054230784769172077
0x93e042ebdd1682755d7a45fc2a051f5f0747b786,40057720000000000000000
0x64a521b8d1448f4b05aeeefd4d08b8aa9261aa12,39990730000010000000000
0x53754bc47f1942ed4b5f02a7612485d59a6593c4,39598053232778085486068
0x6d12712165a201bb8140afe57a5c0a796934685c,31291756000000000000000
0x3d48d001c735ae60d8af8aefd1fbbe756c9854b5,30451337784631888141047
0x0c2bc73a48aab98f6868a1cbbc578c57d5705041,29979949000000000000000
0xae3ee65606c8e0c6c7199e9fd26506f404b3aee9,25809507241000000000000
0xff0fe42dc7b5a764335a91c42fc7fe4dbb254947,25000000000000000000000
0x37858eb3fb0a008c2098b218e3a7cc5abaf13d26,23792493560000000000000
0x9132d01f4c25479805a6f663aad156383367ac25,22030061548701786904031
0x98eec2dcf0aff45dae41e4aa73e9d18409166bc2,21040206000000000000000
0xc162086547c6082289c27590ebdf7486c481d3d3,20848825928715758285893
0x6a7de147ee4b70d52ea32988468bab1d3caaa530,20678457305540000000000
0x69cc6860b6b0a038190e7024fe657014d0013cc8,20002886000000000000000
0x33198c2ed9e8f62ad85dc5d9133c8cc54d344f59,19316846882000000000000
0x4c71ec35fb86e3a1b9c292395ad8f73f5dc268bc,19115473620000000000000
0x3bcf6a24b6db1615642439b5ecea1baff5933630,18471767637067368994689
0x6d4fc14bf95b773a931c035941095cc25042ad22,17695306000000000000000
0x904a31188e4481902e209cdf6e08aebb643586b6,17604346000000000000000
0xbd8bdb77711f4f3fe108f4c1e7e9af4f7854ac12,17578605800000000000000
0xb6e924ff23d1a220d474a73d5d1cbcf99f57cab6,15568180000000000000000
0x40b430708f8b397f4cffd1d440886e75b966dc0f,14462720000000000000000
0x503b1c94a04562c12ac1b67a42a3ff76e3d2ba6e,14000000000000000000000
0x340f81760960a63911a4184523e168378db86fc2,13589943612164985200336
0x2cafe9cba9da5a49e3ff28eb63958c2583cd552a,13016464789164568145080
0x2e60c6ab792fea9c1824301dbaa717d94ef799ba,12754972000000000000000
0x1fb722282eb640650c6ffc3299f78ae91aefd140,12392684000000000000000
0x287bdb06c24f73633905c2c5a442ee104def5484,12200320000000000000000
0x8323ea41885680bc2dee1b879dff60f75b1a90a3,12000000000000000000000
0x1cb41360375dfe8ac94a6e10a9027e364966cfd1,11800000000000000000000
0x082b66873ebf491e611a71d917699e2d7e8a20f0,11500000000000000000000
0xc5e83444cb9127c8d2a941f887fc36ba18a95d03,11500000000000000000000
0xd762f49141fd620eefa2d68fe5d5f7b26b747c39,11500000000000000000000
0xd173211255e749612c272754524c7e0bfa82d48c,11285026240000000000000
0x4b732af53a79636902964012f6655d32ade81e7f,11000000000000000000000
0xc2b71c44d0f7920efa84c004af0388f5e246bbd1,10974476870305304158694
0xe37d33af78fa3496909648393321c188160162d4,10705718286113390604532
0xdfa3f372763e6fce887bffb4f879c6b7a521d012,10000000000000000000000
0x97e6ed9439b2f31535f918c5e2ce2c0916310f1e,10000000000000000000000
0xf425593cc459d8e2d73fb787ee90a5244126d36c,9612920000000000000000
0x0462781f025d12503b3664230db034d1302e2a56,9248701000000000000000
0xa55ef40559ded86949955230df5c43fb74052099,8980305046231315609154
0x0ec64390aa2c851eb50ee132e9e1546a1220f53c,8890190000000000000000
0x9718c9d91a23de54436ba3fcc3f8b60bb8eb1b5b,8866170494752401230545
0x5eda1a320e885b11560e965daf7a6f47d7e77469,8640381160000000000000
0xb26d6b0eea105aec09c3a6921b2963a56ddb3a98,8210090000000000000000
0x262884ee6c0a74d063fac478d75534e279203bd8,6906000000000000000000
