address,balance
0xcdd0f77a2a158b0c7cfe38d00443e9a4731d6ea6,7493835635986934334563948
0xff2bbcb399ad50bbd06debadd47d290933ae1038,980598532251320313085153
0xdfa81e266ff54a7d9d26c5083f9631e685d833d7,629512238687869942638010
0x304cd598f973208888e959d7f808052ab863a7ea,431267860476159347411464
0xd4ce412c250200e66763644d47a8e6d527deda2f,300006000000000000000008
0xcbf42ace1dbd895ffdcabc1b841488542626014d,101884308471494154951489
0x6627a775f57fd3be95759b6630885843a402bd98,100000000000000000000000
0x27f7e530d0c1ab780d8d6962e9cfd45a9c96d8b9,94948889640878853235144
0x3f17cf5336d1a0efe6b2b447dfd3b1f23e26c6ca,34898279720558000000000
0x1a135079e801b3292d966a354c8d8ab85403cf77,33706641880000000000000
0xd255391dece0185504219f96e6b2a7465bcd24e0,31840498217437440637437
0x6f90b28c87b756560362d944cffcaabcedd2dd41,19996924707427673129079
0xd4eee3d50588d7dee8dcc42635e50093e0aa8cc0,16447189999999999699399
0x1c6b316f16ee3ec37dda1cd5affba8c6d5980bfd,14303049430000000000000
0x7aaff03d60aeb937325783bf489a2d5aa10bb51d,13576080181195515243704
0x734466e883e7c1d76df3b73191c8c4da6b73652e,12460624810711949617139
0x2951e08ad9b55d47fb5c001d2038f7d40131d16d,12232897132868380516147
0x7cbb9cdeea6680083e45c97fae47e6e444b005ed,11613155390000000000000
0x2a87ef1811b888aabc899a51775f90c83795e23c,10724321580447253153665
0xf062d1b3f658ad32f7896a76807b05ba7a9e7720,9556988702000000000000
0x7d0c0b5d1ddd5f0dcb95cd63c455d24a464b7941,9150135437000000000000
0x2f9017a6c0be2dcd6f26d8fad90ecb6aa356d732,8986905403238505905215
0xfa35113163bfd33c18a01d1a62d4d14a1ed30a42,8065900000000000000001
0xb8424267d4971cb82617fbffa7d2aa84485a49ff,6635443894000000000000
0xea752000a5ee49fad33d9e24350ddfccb3aa358e,6614368293271377771410
0xe244279f5a5b95c010fe4c41e094596ae9f7ae2f,5907550965559255092504
0x1f45ec21f2d1cd300590fc569a5c99ba45147e4c,5729164054000000000000
0xc4a6312a5d5af3c03d546fa287fa1f883b3db749,5451149572670920238081
0x4eb5c09f266a6681f3a7729cd4587cbb1ae3d41e,5157483071823890489676
0x6db82468a924f70ef0830935bd3276bf0f823e01,5000021300194285947089
0x39a38050190f980e1ed3e259084ff315e244f037,4451985152886717966058
0x498c87f5adb060ab1ade52bf4a807f04d122ca1a,4393904432110010290676
0xe0bd98181c73cdb22ccaeb8016d8a92700c8843d,4386340060291001015359
0x81ef0d1b3cf5944e2574561a5cc911716e047b36,4347106105000000000000
0xe1ed8a8cd6160f7ac8d597b64ba8ce473577e585,4116000000000000000000
0x8ac51a5d5921bf5640ddc6633f13fcd0d8e19be6,4103184526441614355143
0x2e49d96c7c5d541c8f4c1a847ca89ff083c95943,4095337816253069008287
0x0cafad20e3fd96ee15e51a94a9b8ced200b73957,4000009815996168932294
0x02491d37984764d39b99e4077649dcd349221a62,3912891771962028907300
0xe5d7df5a6a057b6a909d564dddabdc848e51a038,3596000000000000000000
0x3a12685c0628065487eab85e1abd5060e25149f1,3370597524168794382369
0x2c87bdf6fd1fa88fc7d2df78c9b1ffd8afbf59a4,3192384088000000000000
0x92aa2f15a99446235f440caaf61aaa93976d1afa,3175396811000000000000
0x868c20050bdd1b0fa90c17b6329051a45f0031bc,3175079303000000000000
0x4f383b2d797499c5f91f59c9fa2a6d84ed9e6f31,3000930951324397842654
0x112c02f2f46a6a404678908ec76a689db1a3a503,2998968251922707950785
0xdbb01022aab14de7451803a7d8f3fb32108854d2,2863283658000000000000
0x9080196182f77b89bb5b0eee3ddb48cfa716c4c3,2828120137860569094647
0x9293c35d6e1524609b7221a1c9a8d52dc81ba62c,2752301046757461767185
0x0e9d806e354eb4235958a294fdef09d18862c02c,2705519542413514654406
0xaeeabd35c92f979945f11a298f709f33d084d1b5,2698817408000000000000
0xe7cbb8d73e5ca000816910f100d60b5fe33588f7,2621022228272702147103
0x1c8cc4822def4f0f14bd3c8a26a150c1b0bfd89d,2583407184061115853810
0x4912ad76b0fda6b98053c23d493e58a7eb6f6953,2519748670897306496472
0xd3a05bbc7d36626a3e9f06ba737ba782595b1f15,2354599245368101008659
0x403ce07a0849108a9bf78ca96a53349f8e42e77c,2271239575000000000000
0x68173061a519ac6db5b9af4bf8ae65728786ece7,2141431398088891721232
0x68a6afece1f5acd172a2631f81249577754156ee,2076793353431518367359
0x73d3c2eb7f567053f976c97b2db9f24ad0490da7,2009153679086734488126
0x2ad44e242e39cca4951de2aedb4a7abecc8b6a48,2000017956060000000000
0xc52ba55f88d36ba80788c2043113a56a31f0f6a9,1910482271410907100982
0xc4a6c646ce871fc79bb21835570cb2c130f5d7bc,1775342798000000000000
0xc3bf933ae0ef6557263ab2a3a1f131e1de075650,1746293617000000000000
0xc074b5a17fd586b887b81dfe227b33591ca4c1ee,1677782044583715797798
0x5107a074226bd4bae35fa21f21052ff75948c625,1673287272000000000000
0x7b43af809a7a0a34b7323f11042df279787013e7,1659279736908619357284
0xc38f9eac4df539c1e611021c062863e3286e6806,1595164593127513464262
0x834c771e04770b1f54fe13d258e5a640d78fba29,1587539651000000000000
0x496e50adc8c04587f19f3a0495b9904164b9846c,1570054363000000000000
0x625fc4878a9086b017c6bb5cb14310ff78c62cde,1560838436478676566690
0xd7b4a3a5562cee602fc2797b6ff102558a7a9ccc,1515618817251955563827
0x844b78b8bdd94154b1118ae2c90624d87999c23e,1506413509838702713401
0xd0fec9906e542e47205ed197f3b8dffabcee42bd,1460908916000000000000
0x6264b7f05facadaf24b71a96e1df3f46a654b799,1315708603000000000000
0xc80d1e0cd0aa1e30d5ed5b6797fbcceec44f438a,1257138962000000000000
0x1766255e71a11f9f9d13abe3f2840e3f6942aa29,1239957148000000000000
0xd14627ff609ed877b39892b59797920f74117bb6,1238593880262776652195
0x00e6cb1c2f01a630400530b5810577ece060a389,1204070369000000000000
0x27861e390d45715fb8c2498cb66800019cf2dbe5,1204018076000000000000
0x77f2728b2fc5c7314588186bcddee2b59c82d73e,1200000000000000000000
0x68c4a8037b9d166b65dd40d8532fe6b57dbb5186,1174888216000000000000
0x1f65c21b735efd5a38720f5f0e11d65c1e704ce4,1170862049868731539338
0x85346257fe64031c9745d327b8c78bb5eb85ac51,1127823579061922665137
0x9fbf4f00105dab6155a1b8ca1f323a62e0481318,1113418649000000000000
0xe4b26bba9fca2b99349b489a3863ff67fdc8cedf,1107694000000000000000
0x65c96f2ce9b5080079991b54911bff39d1f8f865,1071678580000000000000
0x426c40373cc42532404b5535f6cb120d281d2e07,1057910355437159838917
0xb840a75dc94fb1c0aa4db1d1284a7cf59bc7d484,1031823943972701622313
0xf48db76f9c5b0ba043bcb38b58daa6e33669a826,1021148648020229661132
0x8376dd9823425ae7ad238ad4771904a3fce39ddd,1012109742085925703893
0xf849c3169e095a54ed49f7ba1e94f1102c356988,1000000000000000000000
0x552a3547059dde391b23d14834af1664751049cf,999999537660148150165
0x33312cee3d71d7db2920122cd7ce18f9fe0be984,979692654695847740689
0xd079f00944d783f631d1af4d6c37039c4479352d,952523790900000000000
0xdb094e9d2a746bd3373f2c8b7b7a5d4b7199bca7,952523790900000000000
0x9fc1aeb8f49e4c6ccd99c92f214d76aae392c763,944106518791897548129
0x983b4407a83e8757435dbd03f94e7b3702b9d9b1,940541633643686919064
0x0ef5cdf4eb0b64440deeeb0205b1da2e4557c734,924054543707829092451
0x5e8fbef95e18f9e53fbaa6b6f127c28d87987cd2,917496271652850167230
0x361ebd2b884bae725a32c1234546486feabe2e8e,867641506600000000000
0x923e3491ee0e3b19edc783eeb76c5185fed7d65b,866004094374277803155
0x0b64531f9dd108a9e8719a712d8c247f57750921,861981419700000000000
0xfa09412c84283782c73b17b526c9640aa87cd989,856572894300000000000
0x2f338d5d249661fd5d7b3cfe6f74c1f96eaa6669,845571657300000000000
0xe2eaa1d5a43406732861b0a70bd42c604bb0d50f,825230765800000000000
0x913e49a26c2d81b54fbb372b02b5131f7ea83249,824253761926022812263
0x39a6534a296da2896b504371565bc4b0758a7cb7,822601546100000000000
0x85cc531a2c91aef52a41baf28317069d8a76c8a0,812193159900000000000
0xc29fc038cd055842d466281f609c319bde595017,782885209400000000000
