address,stakedBalance
0x4faaad72b6e58fc56021f95fd895aeb27a90261e,441084182875995450415
0x75a5e362252a1630fa8a1544bfa105a86edbbfb1,537265727295642525856
0x846697f75383afc9fa65df7847ee465ea3faff8b,0
0xdc1f22f1c2f671fefa88afe4e4f28ca7acdb8f77,100221207982000000000
0x50cd4ea38ccbf83a4b0c67cd50e460d065e33d22,1499424592657226196804
0x02afe48ad8c7c415c0e2f72c6bd87733d4b41ccd,0
0x055109c45ad0ecf7f767c3467ca75f00b8aa591f,605861551341393251879
0x3d46b811aa1d8f4bdbe288533c9921825affdce5,10519721204884774119477
0xce99c8d7283739a471c77a883ebb65fce9d822e4,56681375699044537318
0xfeb1070518a6a5e1a5d916c35dd3f030f705185b,4290000000000000000000
0x835649a4ad9c806405b03e39bfcd02d6e81b408f,383560000000000000000
0x77c36cfe3f9af217e6be4b035f0538b30567abd2,146689347267078347741802
0x568fe0313b74d301b87b0d04854cf7983b9bd040,641499622513163877286
0xb110d3b49be5cf9ae63f9f36e5be89d9c59c5be9,684313156800000000000
0xad02ee2f32a85a38075e009ed3be84b15f63826c,16850000000000000000
0xb521ba53dd76e6a503425d973464f6329213d2c6,292536517934563788758
0xb3490ed24ee4dc2d5caab08d15ca411b785d6910,100000000000000000000
0xcc2f61c25383453e03beaf6dfcf7a7493132c7bf,3506828611000000000
0x6fc6e4d270c6f78c2b204519b72033453ebce42c,16850000000000000000
0x4cc1e793bcc4018ac3780fb4e9354101c9dafd3b,1386142715889329958835
0x87191756e8e95b7b63ef7b80ab317ed43b00e3d0,300822372178168577642
0xc2a3c19e94c28631237a77508fdd2043e1a146ca,5900000000000000000000
0x5d43155b94e2b41accca3273a2e91f9a3c7873d9,1543799818996339457241
0xd1e550ca63a46dca734f95ee06cf1c03e77cb60a,5846275121737377215015
0x9a3bb58b9785e2ec0737b6a9a2f380e969a2e067,218239813926305054466
0x16770858381b3b5c9dc722a68033756c44b8f531,60993944570666304463
0x73f85a0b5608fb777baf932d3ec833e5302d785b,763290091968385564118
0x4ccc0e3fa2ddf88b284a6eb0c655e0748f0e9907,16850000000000000000
0xbaab95812953a98e730a47385910caff108087b1,880583774377072478984
0xee8e5b5301771d956d419ba2650d11860f85380b,473215103550518407453
0xf3020dfe743e4ec163b815593dcf460b1f3f73c9,165725700000000000000
0xbea91687866cbf5fdd54f9a16e2daf3e8fd2eb10,0
0x3309ccf9b4bb6e040ddb412e6e58d78c45c294d3,5301377061573055844725
0x47a040862237785d11dd411c71f71bd5a85aafe8,47356612966567924823588
0x73fc7955443b0cba21e5175123fe254e13f2ab88,15200481519605891438
0xa0caba7674de07a2e5945ce286b237106fc17de7,10077869047464013560836
0xac8338d1cf444f09893b93a8a1fa48373b4aa102,3677168655566912445435
0x736fd3106181530ab71222d0457bf29b8f319412,519204690896653478487
0xb1148cc941cd49fa9e0008372f34e7b92cf9f1d0,211441101116866234648
0x7c507ba5bc5111c831714801eea8b03acd98cf98,6014393536978329202818
0x3e1d67ebb80201c98425858dc7a2abbe69c6dcdc,50560000000000000000
0x2d4adfb81ac1988285b1ebee2c5b1bfddef8fdb2,287471983326403528158
0xcdc19c32f5077fca21155e7246a915c456848085,22392919490000000000
0xaf79253b77fc6f1e483952f6825a0ff1b618da01,122000000000000000000
0x6b2eca650685442b4b6ddae874ca973546e36a47,559434483340000000000
0x4cb1e2c09565ad20a267f929fe9aa27449f653f1,0
0x6f29f2c5374141914ecef876c95dc331ebb08556,514286815499790961009
0xf7d720a501bec66ecbb2b9c543bcb461b34b2b2c,4669068600715886170404
0xecc7ea7fc3d50a31dff70728c73c2ba46b546567,1022943000000000000000
0xf7200f7a475b53446a10421dea95299fa9319a85,3751001484791165952929
0xba9634ee7e978f0ab649976a5a76e268dac50af6,1250000000000000000000
0x208b852d6d2f4c7830d952639f03bb987a45f30b,873237664897613077565
0x9830f34e1de4face59cdc777e1def43df83397dd,1106531084944583492597
0x2581a81b627cc2cee0ce915d439575ab06e4454d,26621824330384617411
0xf4593434fc961a0ba10d47192294a78756a61757,118304300000000000000
0xc0c7ae39e117fa03f1dc8d1d02b92f0fca27c7bb,773863419630779727624
0xd336e39c7fa6055502bb8ad94a0e6425ca2e916d,258335650703171721852
0x217a70fbd7af1b4395b0ab3cc13718b181843793,295000216941238179110
0x8c5f00a76f9c816276cae3dbc44c8b20a0a13cff,69515138933048921734
0xb2043af7965ce1dfe7e2419796bdb361f59d424c,100601930782927294252
0xb85308e5dfa9519b5bdbcbe8c934c674e096669c,356286000000000000000
0x7707e800672a915e0bb584e0207cf452fc790e75,111200887980000000000
0x82ddeedc3fed36b418a4a49e1f1f7cb87429269b,22289523900000000000
0x189c415968ea2f62f6430d5050df872221633340,2045477328164899505449
0x8661d9c4b40d7a97eb7eb5c7d544ae6796f28220,7491471036481292451788
0x1ea6118a50f78a4402bd3db1134f5bf806e1e106,4710755667290347822643
0xfb35061595e5e17cc2186c418bfecd1c5e8d441a,0
0x4d690ee087e76a49efc35b8314cd4307ca60673b,223228195557319912287
0xfd3442ee37645cefb946a2d40c3d0815dead9937,0
0x265c9e24ee81ab9fcce804305abae6260e8220b1,0
0x1719f6a8270ee46bd710d7fdf76d27e500fc3e38,272040300000000000000
0x54d7a8e340b111c2d8e29b791f0ce1d24d713bf8,617282086870213348510
0x1440c4ecc3552d5499a8fa627f3a01118bb2a11d,67419281692795266884136
0x24901431902bd5e264ac46d04a87c7e2cf0b4e1d,128764325237756591868
0xad4d74cd7f17edae3c548ecbc0cbe0791c89a492,13310314860910597855959
0xa9984bb9251d03781677ad543729374a6eb72d41,1248170741567217609326
0x9c39cb25f3ec545fd6456b4da2c14b2668449bcb,584222522249730598214
0xcb9b78f997027e9bb25326d2f64f155acbc0910e,9580980214903520960963
0xbd3161bb6da182b7f579b9b545edb7bb8cb00875,1448521721071394646092
0x112e7b74be7ecf36663b2447e2f2d63340be896b,550019266120000000000
0xed5a4eba11d710a8a80954eb77405e7e835c813c,1016043809043735198631
0x57afb87b9bc9b87dfb186eec18575b743fb058d5,1863569988128856165616
0x352aa50501e15495bea37bfc8c39884e794e6008,0
0x15bbc07916834bd805e9c987faadae1af1bd0581,78070000000000000000
0x4d61ac87584a4a3cc74bce650344dfce45604fbd,115450839071823975277
0xf3a535f1a586c87e1b72bb5c4344db534c6dd49b,536493363176531881249
