address,stakedBalances
0x8334ebdf93d4953f924863606c621f60f529bf0a,20000000000000000000
0xcf7db3a92ee388928c726981dac328585063b0b5,713427061674986420874
0x1cb41360375dfe8ac94a6e10a9027e364966cfd1,71001384518987226659385
0x0d8751c9f081e93776e8baa91b1cb932116e3956,854478391578665576288
0xd49f2de32d89191a74ec31107e293496a984aac3,100000000000000000000
0x6fe797a05359c9d91b1f85d418e2ed4ea6c65a8f,92016930177166439324
0x00f2654805b4d6df5d5065c5773f15a5a7ed1a7c,10000264416862793120720
0xcab151544aa6f7ee37831b4611d25e38e2e0a59d,11481903901342687206
0xd0fec9906e542e47205ed197f3b8dffabcee42bd,114615508555607515255078
0x08e9a575182f131bc5efc28cd3e19782bbe91ba9,24235140433295721083667
0xa8172a3a34fdb1ef39ab4ebcfc8af096d7b583a4,26983090028524728546
0x86e2efad1d1993b842ee02269a9880c94b381e1f,19878298128392679774
0x1d0fb863e133617962f09509758771933dbb0b4a,2770037823400000000000
0x9ea9f8d0697672dd2a504c3ae4f85eee67c5b4e4,214374093024886670014484
0xf14d24076f00b785d12629e90bcbe530d62777ee,351126452636114854173
0x401c0f82117b3262b79a7697bf98bbd7c0d4e36c,293749799638400570704
0x9120f9f042ba8b980c700024b1dd5d41172963c2,32500000000000000000000
0x16910c4ab223e2ae1b9080635c1e38b150a6c500,3029899448879653016343
0x71f0112de8554dede7d6101bebd71e6ffb5d3f90,35561673596313232431815
0xc897925222be6c25a1569e18d2ff0558ae616db0,70259901110000000000
0x5e8e7a1e4b919c4548085bc8e6a3e8ac254f14a9,43546438719808562964211
0x90a87fe511ec916f0b044783c539e259098c0a64,217592266788436484151449
0x4eb5c09f266a6681f3a7729cd4587cbb1ae3d41e,186136780787741344527911
0xbb74ac98aa949bef31e0338524939faba7f34705,1900000000000000000
0xfa041dd9ebf4acc97b00998b212b4b5852bcd805,1804754000000000000000
0x53bfe0ab71576a3e5a9de6648621d2aa9f5b14a9,453890195165270346411
0x29195aaff225f1638d3d7e2d7a9a99414b4acece,1516100000000000000000
0x47a3c5a68095363cbb6a2d1949f1e9ce104b8d2c,10098830000000000000000
0xdb231fe5713c1940aa048a1296372f7157337509,3102871340235621095016
0x6045f02fb3d85fedae61ad4f5194e1f0539d362a,54353000000000000000000
0x0ac0240f4656dc80684d0df1208bb91c0220725d,141204000000000000000000
0x199cf29ec4874887ee900d26f9f1f58d2f11a2e5,791419306648901288289
0xf20cd8b807426a9a3a8f08c5db10fd61dd213458,1050000000000000000000
0xfb6a3a5bffc0f026beb0eabe0b50899eb63590ca,103524480000000000000000
0xbf916b7754f12ac6e36afe49df90c6260979b18b,3000000000000000000
0x94a12f8b8bbe3d83bf26539cc02efd2eaed40c7b,320747155885337755695
0xcbf7d1c2012629e4689f6c2ca10c4e3a7ce1a75c,20648015284177803164806
0x36e272fa836115837b1dce51fbd8f273f7d839d3,439691723132205569831
0x851497cf9b1362858c095cdd577b506d24f57336,142154766795663875501
0x7b43af809a7a0a34b7323f11042df279787013e7,1526339998000000000000
0x673e0e8a00c1fbbe0c06d7a7c541616942c98091,1655086447000000000000
0x1b14945a862d1c7acdc0917040c71668df4719cb,445023912829347510836
0xcc3465d6317ad58b0c0b0303a9f852527b00da3e,10000000000000000000
0x9d7d086012f6c610efa54de9a6e14ca53629155f,42125977194274412740529
0xe59720416bf94eb34c296e9d7e3d2bf1e18a649f,6500000000000000000000
0xdd02917cfca99664d29911e0aef1c7ecb2c16d11,57882775220000000000
0x7c7cbf06b87a8e349f45dab1fe7bb813e3bde849,1000000000000000000
0x7c1b928a3dd22c5f75dbc9f87c8839fee03d31f3,43139770740000000000
0xa09d49ba29b7f674855ca894bad506ebac365db7,50000000000000000000000
0xa1db19aba15906df9355f7d1f32b1a8c6afe2a4f,16450591640167936180179
0xdb1057846f3a4c62e8f8545b1db50231028253bc,26690678851803514791262
0xefb1811c6df16f684ce94fc9f6bef4b9cfd8b1b8,1000000000000000000000
0x5cec07e90f6468962d4c46d54143b076119bbb74,244183390029141744198
0xd255391dece0185504219f96e6b2a7465bcd24e0,1692037516570849850870
0x76c5480ed39e1494755aa49945b202caa553d7b9,952523790900000000000
0x2ad44e242e39cca4951de2aedb4a7abecc8b6a48,11055000000000000000000
0xc2de5652b95e0429e45355e4bfb3390005afa4fd,35568949936341714913166
0xba171bb8246f57dd1f20bd2164a549e99c6b42a3,50000000000000000000000
0x1ed7da3cc0667195def46f8f3f17a582d32342e8,3567684872963354737665
0x3f17cf5336d1a0efe6b2b447dfd3b1f23e26c6ca,100000000000000000000
0x84411e36f57516f3b359d9afbcada418f07bbccc,5342675459175492450239
