address,stakedBalances
0x030682a021cfc068416fe8bbcf5fd7be35c955e1,66794000000000000000000
0xd53904714529d1aa81b305118d707cd2d1da3d22,3540151874303322565127
0xeb7079800698f088f8996061f0755a13adcdb0c8,522100154997029171840490
0xafdd538b66788131fde8e3e442a5a09ce36de331,28998877843553935083
0x21703e8356b095b0abb90ca9abbd58795e0d01bd,41125000000000000000000
0x082b66873ebf491e611a71d917699e2d7e8a20f0,182703334678462408666624
0xb15eebcb8761f9884c613e64629630852a49ae58,2452054557885114871433
0x91d2af6e19a66dacf25429e0dee1465c31318e9c,760280766544655453144
0xe2ce9e112276eb66f44a55f68c78af32fb6d5a24,11839136648626761819361
0x482efe595b15a8222c34d2eaf7828d1785a8dbd5,98822530505385710738531
0xf4bfb17430d7bf772bd2b372ea7601757d42a7f1,229122741751142431220085
0x75c98e92eac409963e27efc75d2bf556d8a7878f,31753333090000000000
0x8a1d03f13f7de4ae4ae9986c804c959b9ed29bfb,5054228883961355726747
0x21d632e53c4961f852aa1b3de252854951f81591,35566142903176194735519
0x0032dab6f12c6a689f507ad18f9c1420367cf2a7,103102580000000000000000
0x5c4b4facc9105fb79d371f4ff0d0b1d3aaaf931f,42026390867702104611391
0x970532d8a93e8fa6b0592a128ab340fd6afc5103,32285000000000000000000
0x52137e0a753265a6c6155ca1dbf80f73e1c566df,15282000000000000000000
0x4d536537f8452d92d51887ea4868a8cac0979372,4872000000000000000000
0x3b393677c82ab62a569b1a8a09e937c4ed084958,31172928600000000000
0x66b2ec111eb3d4cf361323c648bfb5177e53721b,1774166952065382482855
0x2e49d96c7c5d541c8f4c1a847ca89ff083c95943,3191707255958276035610
0xa8b51e0b7080c50508cd1c324c718f507eb87e65,1971271389884517704953
0x7aee63d31d83d3b86324e6f0ffdbd6568111ca43,18590563742803157286292
0x91406b5d57893e307f042d71c91e223a7058eb72,215978630823060000000000
0xe7bed7fd83cbd8c548cc59f103b6cec6fabe53a9,45600000000000000000000
0x1843001729e1c8383f9a103bd17b00be83789e94,350000126421558997648
0x7d4f2ef3af049965859ab8add7553602f3fcd39e,116168960083773139369800
0x9504daf967a97e302046c0c49230cb0dd375d3c3,50000000000000000000000
0xff73813f00a34920c631e5b3cb50bedc03e51063,3029000000000000000000
0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,247436201531979986474
0xbb746508b8a8ad4f943f01e0c92a676c9d3fbb59,7343432778657186530647
0xc074b5a17fd586b887b81dfe227b33591ca4c1ee,820307527365967034128
0x8645a176d1df7c43bba6945d354f91d0ef18c95c,9557003215369452052827
0x1d0adcc97f7bb8af13e2c9cfa9d6595d44832a11,786533221134846503281
0x75067baa9365f7af33d1f332642d6bfeba7b77c5,174629361700000000000
0x9815e07054d35d7b620661fcfcfe36f7c1bc0a2b,17654853382458756718605
0x125ad150043f25a8c0a09c8b82ac2a26eaac1400,2666358444850997203126
0x21ddf70bfb842e9eed59df7af411fc602d7eed4b,6000000000000000000
0x67c43025e72985f3cc19ac9f85361a3f370c54ca,17239750785720076292758
