address,stakedBalance
0x0efc73ef16329c591ce93654216bb4af27140bbe,103121049563248839473036
0x5e117c7b0b6801bd91b1c11bf4d9820e16ca03a7,80262962066227382597901
0x6db82468a924f70ef0830935bd3276bf0f823e01,74005122221333919808236
0xf4bfb17430d7bf772bd2b372ea7601757d42a7f1,50323360681168673968425
0x9ea9f8d0697672dd2a504c3ae4f85eee67c5b4e4,45220637470640352254266
0x082b66873ebf491e611a71d917699e2d7e8a20f0,40358474619775785517174
0x4eb5c09f266a6681f3a7729cd4587cbb1ae3d41e,37960821234372112302668
0xb7c8a92641c2b48ef1a94ed3fbcf039240dd921b,36910215842125755059206
0xe4310545e143b6e44aefa9a96f9aca44984cb1e0,34466600179082128573866
0x90a87fe511ec916f0b044783c539e259098c0a64,34053301116413247667344
0x0ac0240f4656dc80684d0df1208bb91c0220725d,29715434711952830607843
0x980aa416e2d67fc97c671162d8ae261c105b2043,28012970091715216663156
0x5bc124b3f28c301f497d3d44eb5c3225651143cb,25847321212016489934532
0x7d4f2ef3af049965859ab8add7553602f3fcd39e,23924558193438372642623
0xd0fec9906e542e47205ed197f3b8dffabcee42bd,23328742699858265113692
0xcc703df207ffb7bb81367f902176ec16f57c7f10,21373602125091459607236
0x8b99804f61cb8e53da29ba5e74329c83f5dd9bb2,21342292489407464622508
0x632c475edd617213dabd3bba70250a26ae406f5f,20722972758886303822849
0x482efe595b15a8222c34d2eaf7828d1785a8dbd5,19892682606444468478683
0x065f0aa0c146eb37a97cf2112e1be7ce25eeb4b4,19879156328362092773866
0x5df954729806f91bc1e72ae87142b639e9b1f7f2,19852283747911480190834
0xfb6a3a5bffc0f026beb0eabe0b50899eb63590ca,19815846379432752709303
0x0032dab6f12c6a689f507ad18f9c1420367cf2a7,19348456368051169912907
0x08af2be6e1e92d6f612106dffff474bb1b482e79,16995546881613939735398
0x1cb41360375dfe8ac94a6e10a9027e364966cfd1,15011496145826792921909
0x4e0d7cb37ddd8cfa5786455b04acf8871a229242,14588746787143996972581
0xdb1057846f3a4c62e8f8545b1db50231028253bc,14110824962583926788299
0xec068827dc30ee26be0e9b8075919d7a7d33099a,12607578928912494017245
0x6045f02fb3d85fedae61ad4f5194e1f0539d362a,11355985985853579983679
0x9823d1608dd094a7fa88e08b6d5bd29d09b0e86b,10794562036982951967093
0xa6d674cb39567d9f03a882eff5755f2307dcbd49,10500600111186891612320
0x7df0f4aabac6dbb28b1849c3bc8c2d3d90e24836,10272627803738558601090
0xb18511795aa968fa2fcc56ddf4d6da954774155a,9778080330498813426420
0xc07496f47e4099c313d5661245321a1687f7baa9,9359929478642365026854
0xa09d49ba29b7f674855ca894bad506ebac365db7,9355848010939185717942
0x9504daf967a97e302046c0c49230cb0dd375d3c3,9355802691633893586912
0x030682a021cfc068416fe8bbcf5fd7be35c955e1,9308879568078828804076
0xbe2d86b6973a6f10c778aac33bbf50778cb5209d,9151673289765918476567
0x5e8e7a1e4b919c4548085bc8e6a3e8ac254f14a9,9141915525016872146912
0x9d7d086012f6c610efa54de9a6e14ca53629155f,8842294120417438630865
0x3cec15d862523081c04ef38ff8b8ca3e5b25ca63,8703149598869716045598
0xeb44e9278f552580eb80431c9e64f103fbe7a7e7,8654446647407543911738
0x5c4b4facc9105fb79d371f4ff0d0b1d3aaaf931f,8652385741603406621228
0x21703e8356b095b0abb90ca9abbd58795e0d01bd,8470868895721705095666
0xe26ea9010d93d1ae4e57a74f5d11d4c11ce14e35,7932015080770164431860
0x6bd66dc90fead00b2ce70f9a6b79198dcc1d38e8,7928972714046860215724
0xba171bb8246f57dd1f20bd2164a549e99c6b42a3,7861689158816741336756
0x8d422f2e53d306e393c97ca3566101355ff8f6cf,7778191999528102659005
0x71f0112de8554dede7d6101bebd71e6ffb5d3f90,7772263500826493894814
0x970532d8a93e8fa6b0592a128ab340fd6afc5103,7507850261530022131813
0x461462fc0a8c05ffb5b5fe2e82b3a3ab292db23a,7309139765793822491823
0xbbc706158af1a1acb4db7645e064d8f25297a9ac,7298429207974461572450
0xc2de5652b95e0429e45355e4bfb3390005afa4fd,7256523957447981286612
0x21d632e53c4961f852aa1b3de252854951f81591,7199155102646036255460
0x148afbce5ce5417e966e92d2c04bd81d8cb0e04e,6831422268100289471955
0x2ae02587a2b86fbd4502c5322154e97908d7279f,6629850696918760100018
0x9120f9f042ba8b980c700024b1dd5d41172963c2,6543291255029442125261
0x8323d8331337e55b5caf35d6e884f5f9236a5205,6532315052414991287584
0xbb39cd5db415783db640e66b257d75454603bb9d,6429352751042061309599
0x0b6bf854cb7c816518a96317893e43ab219bd365,5922441775796876765086
0xe764cbbd0cf7fe67095bf13a118fa4b577945d6b,5515521911082760105768
0x08e9a575182f131bc5efc28cd3e19782bbe91ba9,5011146184370905090626
0x09b18bdb5c0d79160ed963580775ea33eac304bb,4805197338752423562391
0xcbf7d1c2012629e4689f6c2ca10c4e3a7ce1a75c,4177902443142410640123
0x230439615e960c09d045f2a0591c9c21c8531f63,4122880568330496120935
0xbf9dbba8c6255bf0289cb21647777f32bdda690e,3792161955417153893763
0x7aee63d31d83d3b86324e6f0ffdbd6568111ca43,3769102603001219767845
0x9815e07054d35d7b620661fcfcfe36f7c1bc0a2b,3674143142540530331414
0x8dd0eb4ac9b49e2193a73d0f77f431acc0af1b37,3604538936755198450946
0x8e43ff929f39f3559e419905171fcf5f9a9910bb,3494309796049333617222
0x67c43025e72985f3cc19ac9f85361a3f370c54ca,3474327227154315946735
0x1d0adcc97f7bb8af13e2c9cfa9d6595d44832a11,3466293799905867721501
0xa1db19aba15906df9355f7d1f32b1a8c6afe2a4f,3461434258753714173453
0xe1241ccfed33613c0590ab70efad81ade9e72d2d,3442506547274755249082
0xa220fddfb9a0a44192461d1263513ad656a341f6,3423997083917483619108
0x88cb2730e118eb37241c8e4da6990d559cc421d0,3258072716179465273259
0x29eceeafdfff73e125c2fb93cde3e6bb6f1b602c,3117649326374074270077
0x52137e0a753265a6c6155ca1dbf80f73e1c566df,3098256114141685962196
0xdf038885b13579fb8a1531178e63de93cd49c62f,3038499365328629161929
0xb27f6df486ef5dee2e3a4dc4f257dd63e5a5e371,2911956778068124751724
0xd5ac47018750e3fcb96bb28120f4d2564f8f653a,2900475427683195766098
0x599fae7d642d7b899e0e6747b0cdde213170deac,2848943159444000180954
0x6dc52ed08c6cc390f281a5af58d7d83ece91780e,2770806447353102259510
0xa077b54582e5d05de3873b080ca9ed4b59acf015,2521612523201379725978
0x5c9c4964261acac8f942f795cb41d337bac9d2f2,2479950931459561702639
0xe2ce9e112276eb66f44a55f68c78af32fb6d5a24,2479376148363674600965
0x949bd60a717a3b448a1e5a69568edde931134ed5,2374256329738483142286
0x997202adee11ebeb3d5b6b3c0b3b2b3f3002bc31,2120345293416214002205
0x4f8da7eee969f1b6b2f329636ce1a889b037b461,2092165073425253770986
