address,stakedBalance
0xeb7079800698f088f8996061f0755a13adcdb0c8,1020558952444049494114304
0x58e6949e73654bcf40de6f99fe09ae29243b17c4,756078791918528109740032
0x5bb35d290ecc0f00a8c84b03e66d974b01d64afb,296420151088648692957184
0x23b1fa47de2d58ad7636fdd765e2ec5bb2ba9772,237554992914176210370560
0xec852d93806a0e5c93e506c804717530ac26bb8d,236896646159096319311872
0x75c98e92eac409963e27efc75d2bf556d8a7878f,204278717086235996717056
0x36ec6071d2b4d07c2f89e8122072a42bac7f5be8,200195969405795497410560
0x6b75c72309e4836ad8a1273a9f9c84bdc05edc31,193009569285126028787712
0xd62885f9899b317c4b1172218e39e4df52ce6d85,188313264471611342323712
0x3a548d84e3e2f85223c3906e2d2625c7f699e538,148797298973800403042304
0xd679a242123a0a7692673d564469b6f4c40edcf4,143035084746441170616320
0xb89050a31d0a66564f416131059ab47a652fb9ca,141631827873406969184256
0xf9ac98e92d4360f1e3cdb52c5a7112a061193615,123057311142019967483904
0x664f7c454e68c607a98eead814282d790f2098bd,113685472342374086606848
0xdfdbd5700998d3dcb01f873856337ed4aadef6ec,106968597636917741223936
0xc853ed23b315c1978054286035a07c13f5946376,105280936596874947723264
0xa4e327e2ef36c7eb397da04e79b26541734a946b,97506354955405647413248
0x395ae7194474d9fab35357c227011c4b5f747741,88582196388439017914368
0x872a67af2f531a408e5a632011cf1eae3801e9d2,87576324050491306672128
0x0f696812f40d52327b8cc419b1044b0e9c162ac9,84035639565953265565696
0x480fba83dbf31a3b8c7956ea4f7037497fa67bd3,83845187371000483807232
0x617898466564d03a6cc602e009d3200c36bb92c7,75743107421497385287680
0x02a952d7798a94940528f737788d21bb6488a534,72901848703325993697280
0x5d433b73ed2898e00e129ee87621af184bc00259,65192350014579912212480
0x3e3385bd86ff311095a821d6f9e988872eecd1fe,65101700565997839187968
0x4ccd66207b5666a9e734d2dc7deead7e42fec2cc,64891103846648197939200
0xe21ab71fb3bbeb78f1da91aa3b678fd46256dae6,62224515588169463234560
0x1cb41360375dfe8ac94a6e10a9027e364966cfd1,56363665057433830555648
0xc65edcd6d996b6dd20311b7e1bc6771fc4319178,55747627127835669299200
0x445cba8b695c0d2c1d7497618624c620265d4132,55257191775329729904640
0x46cb02ec80cd9cfdc8d2220d624428b6823eb9b6,55119344436561076813824
